DATA_ID,SEQ_ID,SMI_ID,PROD_SMI_ID,EC_NUMBER,EC_1,EC_2,EC_3,EC_4,KCAT,KM,KCAT_KM,Y_VALUE,PH,TEMP,RXN_SMILES,SMI_SOURCE,FOLD
DATA_000240,P00329,SMI_9ABE2286D9,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,86.5,0.0019,,4.658262506511985,,,CCCCCCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000301,Q4J781,SMI_7A1E0D8109,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,26.2,0.00016,655.0,5.214181308663821,,,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000337,Q4J781,SMI_8A3F70A857,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,0.65,0.00011,5.91,3.7715206714846303,,,C1=CC=C(C=C1)C(=O)C(Cl)Cl>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000360,Q4J781,SMI_A4953F1E05,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,19.3,0.00044,107.0,4.642104632521586,,,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000407,Q4J781,SMI_B6042E71A2,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,1.6,0.00043,3.72,3.5706515270763384,,,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000410,P00329,SMI_89B394FD02,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,215.0,1.625,,2.121585094600712,,,CCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000419,Q4J781,SMI_27655CC011,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,22.0,0.00071,31.0,4.491164332103131,,,C1=CC=C2C(=C1)C(=O)C(=O)N2>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000425,Q4J781,SMI_F2A0BD24FA,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,16.6,0.00081,20.5,4.3116230691614055,,,CC1(C2CCC1(C(C2)O)C)C>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000434,Q4J781,SMI_B312FD611C,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,2.1,0.00105,2.0,3.3010299956639813,,,C1CC(C2=CC=CC=C2C1)O>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,7
DATA_000449,Q4J781,SMI_39CE43E8A8,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,13.5,0.0013,10.5,4.01639041618817,,,*C([H])([H])O.NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)=C1>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],rhea_sub_plus_brenda_prod,7
