DATA_ID,SEQ_ID,SMI_ID,PROD_SMI_ID,EC_NUMBER,EC_1,EC_2,EC_3,EC_4,KCAT,KM,KCAT_KM,Y_VALUE,PH,TEMP,RXN_SMILES,SMI_SOURCE,FOLD
DATA_000051,P19631,SMI_DFECC8872F,SMI_A106D6D46F,1.1.1.1,1,1,1,1,4.91667,0.0041,1183.33,3.073105874968971,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCO>>CC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,2
DATA_000052,P19631,SMI_15FE3FA53C,SMI_6D3B567273,1.1.1.1,1,1,1,1,0.75,0.0028,266.667,2.4259692751400443,10.0,25.0,C1CCC(CC1)O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C1CCC(=O)CC1.[H+],brenda,2
DATA_000055,P19631,SMI_AC530DE0A1,SMI_1F50D249A0,1.1.1.1,1,1,1,1,7.21667,0.002,3600.0,3.5563025007672873,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCCCO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CCCC=O,brenda,2
DATA_000056,P19631,SMI_5C9F6C3D6C,SMI_B0D06E34DA,1.1.1.1,1,1,1,1,2.91667,0.0002,10800.0,4.033423755486949,10.0,25.0,CCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CCCCC=O,brenda,2
DATA_000057,P19631,SMI_D29380D369,SMI_F47139B70C,1.1.1.1,1,1,1,1,1.85,1.1e-05,162333.0,5.210406814718939,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCCCCCCCO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CCCCCCCC=O,brenda,2
DATA_000058,P19631,SMI_25F1132EF4,SMI_237E1DCC32,1.1.1.1,1,1,1,1,1.45,4e-05,36333.3,4.560304844785474,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C(CCCCCC(=O)O)CCCCCO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C(CCCCCC(=O)O)CCCCC=O,brenda,2
DATA_000059,P19631,SMI_15FE3FA53C,SMI_6D3B567273,1.1.1.1,1,1,1,1,3.55,0.0052,683.333,2.8346323944850735,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C1CCC(CC1)O>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].C1CCC(=O)CC1,brenda,2
DATA_000060,P19631,SMI_01B3F8D5CE,SMI_94F04C79F2,1.1.1.1,1,1,1,1,2.51667,1.3e-05,195000.0,5.290034611362518,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C1=CC=C(C=C1)CO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C1=CC=C(C=C1)C=O,brenda,2
DATA_000061,P19631,SMI_F47139B70C,SMI_D29380D369,1.1.1.1,1,1,1,1,17.0,4.3e-05,395000.0,5.596597095626461,6.5,25.0,CCCCCCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCCCCCCCO,brenda,2
DATA_000141,P30838,SMI_6A7D94376A,SMI_64A9DC97E1,1.1.1.1,1,1,1,1,0.9,0.00022,,3.6118198286171186,7.4,25.0,C1=CC=C(C=C1)C=O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.O>>C1=CC=C(C=C1)C(=O)[O-].[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,2
DATA_000142,P30838,SMI_6A7D94376A,SMI_64A9DC97E1,1.1.1.1,1,1,1,1,0.783333,0.00058,,3.130518429182935,7.4,25.0,O.C1=CC=C(C=C1)C=O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].C1=CC=C(C=C1)C(=O)[O-],brenda,2
DATA_000143,P30838,SMI_7C48FA44C1,SMI_7799417C92,1.1.1.1,1,1,1,1,1.43333,0.0002,,3.8553161952076014,7.4,25.0,O.CC(=O)OC1=CC=C(C=C1)[N+](=O)[O-]>>C1=CC(=CC=C1[N+](=O)[O-])O.CC(=O)[O-],brenda,2
DATA_000145,P30838,SMI_7C48FA44C1,SMI_7799417C92,1.1.1.1,1,1,1,1,1.43333,0.0002,,3.8553161952076014,7.4,25.0,CC(=O)OC1=CC=C(C=C1)[N+](=O)[O-].O>>CC(=O)[O-].C1=CC(=CC=C1[N+](=O)[O-])O,brenda,2
