DATA_ID,SEQ_ID,SMI_ID,PROD_SMI_ID,EC_NUMBER,EC_1,EC_2,EC_3,EC_4,KCAT,KM,KCAT_KM,Y_VALUE,PH,TEMP,RXN_SMILES,SMI_SOURCE,FOLD
DATA_000064,P00325,SMI_DFECC8872F,SMI_A106D6D46F,1.1.1.1,1,1,1,1,0.166667,0.0012,133.333,2.124937650870738,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].CC=O,brenda,0
DATA_000065,P00326,SMI_DFECC8872F,SMI_A106D6D46F,1.1.1.1,1,1,1,1,3.83333,0.002,2000.0,3.3010299956639813,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCO>>[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CC=O,brenda,0
DATA_000066,P00326,SMI_3DA04ECE3F,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,0.366667,0.074,5.0,0.6989700043360189,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CO>>[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C=O,brenda,0
DATA_000067,P00325,SMI_3DA04ECE3F,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,0.133333,0.006,21.6667,1.3357927700680359,10.0,25.0,CO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C=O.[H+],brenda,0
DATA_000068,P00325,SMI_11C68B5C96,SMI_8DF6E4E8FF,1.1.1.1,1,1,1,1,0.116667,0.013,90.0,1.954242509439325,10.0,25.0,C(CO)O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C(C=O)O,brenda,0
DATA_000069,P00326,SMI_11C68B5C96,SMI_8DF6E4E8FF,1.1.1.1,1,1,1,1,1.41667,0.057,25.0,1.3979400086720377,10.0,25.0,C(CO)O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C(C=O)O,brenda,0
DATA_000070,P00326,SMI_01B3F8D5CE,SMI_94F04C79F2,1.1.1.1,1,1,1,1,2.11667,7e-06,300000.0,5.477121254719663,10.0,25.0,C1=CC=C(C=C1)CO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1=CC=C(C=C1)C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,0
DATA_000071,P00325,SMI_01B3F8D5CE,SMI_94F04C79F2,1.1.1.1,1,1,1,1,0.183333,0.00012,1500.0,3.1760912590556813,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C1=CC=C(C=C1)CO>>C1=CC=C(C=C1)C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,0
DATA_000072,P00325,SMI_6202D5664D,SMI_4C8EEF9B32,1.1.1.1,1,1,1,1,0.166667,1.2e-05,13833.3,4.1409257954984415,10.0,25.0,C(CCCCCCCC(=O)O)CCCCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C(CCCCCCCC(=O)O)CCCCCCC=O.[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,0
DATA_000073,P00326,SMI_6202D5664D,SMI_4C8EEF9B32,1.1.1.1,1,1,1,1,3.46667,2.6e-05,133333.0,5.124937650870738,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C(CCCCCCCC(=O)O)CCCCCCCO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].C(CCCCCCCC(=O)O)CCCCCCC=O,brenda,0
DATA_000074,P00326,SMI_15FE3FA53C,SMI_6D3B567273,1.1.1.1,1,1,1,1,1.46667,8e-06,183333.0,5.263240645147532,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C1CCC(CC1)O>>C1CCC(=O)CC1.[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,0
DATA_000075,P00325,SMI_15FE3FA53C,SMI_6D3B567273,1.1.1.1,1,1,1,1,0.133333,0.023,5.0,0.6989700043360189,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C1CCC(CC1)O>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].C1CCC(=O)CC1,brenda,0
DATA_000078,P00326,SMI_11C68B5C96,SMI_8DF6E4E8FF,1.1.1.1,1,1,1,1,1.1,0.032,33.3333,1.5228783109856385,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C(CO)O>>C(C=O)O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,0
DATA_000079,P00326,SMI_3DA04ECE3F,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,0.233333,0.03,8.33333,0.9208185802345477,10.0,25.0,CO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,0
DATA_000081,P00325,SMI_96B4A24B94,SMI_3090C8920C,1.1.1.1,1,1,1,1,0.12,1.3e-05,,3.965237893740788,9.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)C=O,brenda,0
