DATA_ID,SEQ_ID,SMI_ID,PROD_SMI_ID,EC_NUMBER,EC_1,EC_2,EC_3,EC_4,KCAT,KM,KCAT_KM,Y_VALUE,PH,TEMP,RXN_SMILES,SMI_SOURCE,FOLD
DATA_000009,P12711,SMI_D29380D369,SMI_F47139B70C,1.1.1.1,1,1,1,1,0.0666667,0.0016,41.6667,1.6197891057238405,7.5,25.0,CCCCCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>CCCCCCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,5
DATA_000011,P12711,SMI_F47139B70C,SMI_D29380D369,1.1.1.1,1,1,1,1,4.16667,0.0035,1166.67,3.0669480304702175,7.5,25.0,CCCCCCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>CCCCCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,brenda,5
DATA_000013,P12711,SMI_DFECC8872F,SMI_A106D6D46F,1.1.1.1,1,1,1,1,0.65,0.0014,466.667,2.669007091168809,7.5,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCO>>CC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,5
DATA_000016,P12711,SMI_A106D6D46F,SMI_DFECC8872F,1.1.1.1,1,1,1,1,2.83333,0.00017,16666.7,4.221849618204452,7.5,25.0,CC=O.[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>CCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,brenda,5
DATA_000017,P12711,SMI_1F50D249A0,SMI_AC530DE0A1,1.1.1.1,1,1,1,1,7.33333,9e-05,81666.7,4.912045006907888,7.5,25.0,CCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>CCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,brenda,5
DATA_000019,P12711,SMI_B3A632AFE3,SMI_9CDA0EFD04,1.1.1.1,1,1,1,1,4.33333,6e-05,71666.7,4.855317407193329,7.5,25.0,C1=CC(=CC(=C1)[N+](=O)[O-])C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>C1=CC(=CC(=C1)[N+](=O)[O-])CO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,brenda,5
DATA_000029,P12711,SMI_5C9F6C3D6C,SMI_B0D06E34DA,1.1.1.1,1,1,1,1,3.53333,0.078,45.0,1.6532125137753437,10.0,25.0,CCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>CCCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,5
DATA_000030,P12711,SMI_D29380D369,SMI_F47139B70C,1.1.1.1,1,1,1,1,2.33333,0.00051,4583.33,3.661181127595972,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCCCCCCCO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CCCCCCCC=O,brenda,5
DATA_000031,P12711,SMI_25F1132EF4,SMI_237E1DCC32,1.1.1.1,1,1,1,1,3.83333,0.0001,38333.3,4.583576207986409,10.0,25.0,C(CCCCCC(=O)O)CCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C(CCCCCC(=O)O)CCCCC=O,brenda,5
DATA_000032,P12711,SMI_2594ABD3CB,SMI_0D43B0E168,1.1.1.1,1,1,1,1,5.83333,0.06,96.6667,1.9852768929359859,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CC=CCO>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CC=CC=O,brenda,5
