DATA_ID,SEQ_ID,SMI_ID,PROD_SMI_ID,EC_NUMBER,EC_1,EC_2,EC_3,EC_4,KCAT,KM,KCAT_KM,Y_VALUE,PH,TEMP,RXN_SMILES,SMI_SOURCE,FOLD
DATA_000229,P80222,SMI_9ABE2286D9,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,0.167,7e-07,,5.377618431133326,,,CCCCCCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000230,P80222,SMI_F6BAA9F910,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,0.15,1.4e-06,,5.029963223377443,,,CCCCCCCCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000265,P12311,SMI_7A1E0D8109,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,326.0,7.2e-05,4500.0,6.65588510363667,,,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000271,P86885,SMI_9ABE2286D9,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,4.08,0.00026,,4.195686815119062,,,CCCCCCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000272,P86885,SMI_D2A4DFB8B4,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,2.77,0.0023,,3.0807519330468556,,,C(CCCCCC(=O)[O-])CCCCCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000283,P86885,SMI_069CA54449,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,7.18,0.0026,,3.4411510962714824,,,CCCCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000287,P12311,SMI_08B723D966,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,55.0,3e-05,1835.0,6.2632414347745815,,,C1=CC=C(C=C1)C=CC=O>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000299,P86885,SMI_BF85C3BF8F,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,8.5,0.32,,1.4242689473943868,,,C1CCC(CC1)O>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000320,P12311,SMI_39CE43E8A8,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,308.0,6.6e-05,4700.0,6.669006780958576,,,*C([H])([H])O.NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)=C1>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],rhea_sub_plus_brenda_prod,1
DATA_000330,P12311,SMI_39CE43E8A8,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,34.3,0.0001,340.0,5.535294120042771,,,*C([H])([H])O.NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)=C1>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],rhea_sub_plus_brenda_prod,1
DATA_000335,P12311,SMI_8952C0B61F,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,931.0,0.000108,8600.0,6.935525925494393,,,CCCC=O>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000338,P12311,SMI_F5EA153A3E,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,43.0,0.00011,391.0,5.592075770421362,,,C1=CC=C(C=C1)C=CCO>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
DATA_000345,A0A0B4VJJ8,SMI_AE8D6E0581,SMI_C2D7EDC3B5,1.1.1.1,1,1,1,1,36.9,0.09737,0.38,2.578601196152757,,,C1=COC(=C1)C=O>>C=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],brenda,1
