DATA_ID,SEQ_ID,SMI_ID,PROD_SMI_ID,EC_NUMBER,EC_1,EC_2,EC_3,EC_4,KCAT,KM,KCAT_KM,Y_VALUE,PH,TEMP,RXN_SMILES,SMI_SOURCE,FOLD
DATA_000150,P11766,SMI_25F1132EF4,SMI_09A85A2CDA,1.1.1.1,1,1,1,1,3.03333,2.5e-05,,5.083979651682448,10.0,25.0,C(CCCCCC(=O)O)CCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].C(CCCCCC(=O)O)CCCCC=O,brenda,8
DATA_000151,P11766,SMI_D682F563F7,SMI_D29380D369,1.1.1.1,1,1,1,1,3.33333,2.5e-06,,6.124938302313601,6.8,25.0,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CCCCCCCC=O.[H+]>>C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCCCCCCCO,brenda,8
DATA_000152,P11766,SMI_DFECC8872F,SMI_A106D6D46F,1.1.1.1,1,1,1,1,,,0.75,-0.12493873660829995,10.0,25.0,CCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>[H+].CC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,8
DATA_000153,P11766,SMI_AC530DE0A1,SMI_F540F9EBF7,1.1.1.1,1,1,1,1,,,7.76667,0.8902348526987981,10.0,25.0,CCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>[H+].CCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,8
DATA_000154,P11766,SMI_5C9F6C3D6C,SMI_FEBA9F8424,1.1.1.1,1,1,1,1,0.245,0.04,6.13333,0.7876963322602002,10.0,25.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCCCCO>>CCCCC=O.[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,8
DATA_000155,P11766,SMI_D29380D369,SMI_D682F563F7,1.1.1.1,1,1,1,1,7.33333,0.0012,6116.67,3.7865150505411234,10.0,25.0,CCCCCCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>[H+].CCCCCCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,brenda,8
DATA_000157,P11766,SMI_958D19FE73,SMI_19BD616C81,1.1.1.1,1,1,1,1,0.466667,0.011,42.3333,1.6266821242720009,10.0,25.0,COC1=C(C=CC(=C1)CO)O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.COC1=C(C=CC(=C1)C=O)O,brenda,8
DATA_000158,P11766,SMI_D682F563F7,SMI_D29380D369,1.1.1.1,1,1,1,1,3.33333,0.0024,1388.33,3.1424927082980463,6.8,25.0,[H+].C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.CCCCCCCC=O>>C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CCCCCCCCO,brenda,8
DATA_000159,P11766,SMI_2233BA7414,SMI_4F32552A8C,1.1.1.1,1,1,1,1,40.0,2.7e-05,1500000.0,6.176091259055681,7.5,25.0,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N>>C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C(CC(=O)NC(CS(=O)N)C(=O)NCC(=O)[O-])C(C(=O)[O-])[NH3+],brenda,8
DATA_000160,P11766,SMI_2233BA7414,SMI_4F32552A8C,1.1.1.1,1,1,1,1,45.8333,0.0007,65000.0,4.812913356642856,7.5,25.0,C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O>>C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.C(CC(=O)NC(CS(=O)N)C(=O)NCC(=O)[O-])C(C(=O)[O-])[NH3+],brenda,8
