set,n_groups,n_samples,size_min,size_max,size_mean,size_median,pct_ge_5,pct_ge_10,pct_ge_20
A_strict,688,5286,3,68,7.683139534883721,5.0,0.6148255813953488,0.2136627906976744,0.05377906976744186
B_loose,789,6394,3,68,8.103929024081115,6.0,0.632446134347275,0.2332065906210393,0.06844106463878327
C_full,2658,18742,3,231,7.051166290443943,5.0,0.5334838224228743,0.1745673438675696,0.0436418359668924
