SMI_ID,SMILES
SMI_DC77AF9199,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.NC(CCC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(=O)O
SMI_FC4EF51BFF,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.NC(CCC(=O)NC(CSCO)C(=O)NCC(=O)O)C(=O)O
SMI_AB56DB67FF,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_EFED8CE478,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1.[H+]
SMI_B9137098AF,CCCCCCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_C840F5B631,CCCCCCCCCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_2E7194BDF6,CCCCCCCCCCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_62566774AF,CCCCCCCCCCCCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_829372D038,CCCCCCCCCCCCCCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_A4953F1E05,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_8F713CC5CA,CCCC=CCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_32A833F944,CC(C)=CCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_98CD7F604C,CC(C)=CCCC(C)=CCCC(C)=CCO.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_3547CFF348,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.OCC=CCO
SMI_1A04CBF005,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.OCCCCCCO
SMI_96C31856BB,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.OCCCCCCCCO
SMI_B40ED2BFDE,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.OCC=Cc1ccccc1
SMI_14BB2D4A12,CC(CCCO)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
SMI_9ABE2286D9,CCCCCCO
SMI_F6BAA9F910,CCCCCCCCO
SMI_A49258EDA0,COc1ccc(C=O)cc1
SMI_527C184605,CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CCO
SMI_7A1E0D8109,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1
SMI_24703BB682,OCc1ccccc1
SMI_BF85C3BF8F,OC1CCCCC1
SMI_E4FF2EAEE1,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
SMI_08B723D966,O=CC=Cc1ccccc1
SMI_7029EEA64A,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O
SMI_069CA54449,CCCCO
SMI_9AE011B26F,CCCCCO
SMI_652F0445CC,CCCCCC=O
SMI_7908C955AD,CCC(C)O
SMI_D2A4DFB8B4,O=C([O-])CCCCCCCCCCCO
SMI_8884DF234A,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=O
SMI_59D8B57BBF,CCCO
SMI_89B394FD02,CCO
SMI_39CE43E8A8,*CO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
SMI_DA3341B60B,O=Cc1ccccc1
SMI_E631C5D01D,OCCCc1ccccc1
SMI_53A94353E5,COc1cc(CO)ccc1O
SMI_24F2F9AE87,CCCCCCCO
SMI_0D46A5385B,CCCCCCCC=O
SMI_EAD39673E7,O=C(O)CCCCCCCCCCCO
SMI_3BF241EF79,O=C([O-])CCCCCCCCCCCCCCCO
SMI_8952C0B61F,CCCC=O
SMI_8ADD9B517B,CCCC(C)O
SMI_4D986FA4D4,COc1ccc(CO)cc1
SMI_DF269A697B,CC=O
SMI_8A3F70A857,O=C(c1ccccc1)C(Cl)Cl
SMI_F5EA153A3E,OCC=Cc1ccccc1
SMI_5BBC393098,OCc1ccc(Br)cc1
SMI_AE8D6E0581,O=Cc1ccco1
SMI_85CD1F7B76,OCc1cccc(Br)c1
SMI_1331972D00,CC(=O)c1ccc(Cl)cc1
SMI_79A42C9574,CCCCC=O
SMI_39FEF0BF4B,CCCCCCC(C)O
SMI_493DDBA232,O=CCc1ccccc1
SMI_5D93E6325A,OCCc1c[nH]c2ccccc12
SMI_33134A8EFC,CC(=O)c1ccccc1
SMI_747EBD5F8D,CCC(O)CC
SMI_70F2BC456F,CCOCCO
SMI_DC9211221E,CC(C)C=O
SMI_F662CADC05,O=Cc1ccc(C(=O)O)cc1
SMI_165FCB35A2,CC=CCO
SMI_B6042E71A2,O=C(C(=O)c1ccccc1)c1ccccc1
SMI_35326B933C,CC(C)O
